bt_date,n_players,field_hit1_rate,field_hit2_rate,field_avg_actual,n_field,top_5_hit1_rate,top_5_hit2_rate,top_5_avg_actual,top_5_lift_hit1,top_5_lift_hit2,top_5_lift_avg,top_10_hit1_rate,top_10_hit2_rate,top_10_avg_actual,top_10_lift_hit1,top_10_lift_hit2,top_10_lift_avg,top_20_hit1_rate,top_20_hit2_rate,top_20_avg_actual,top_20_lift_hit1,top_20_lift_hit2,top_20_lift_avg,calibration_80,mae,spearman_elfies_v2,spearman_elfies_v1,spearman_elfies_standout
2025-12-10,46,0.0652,0.0,0.0652,46,0.0,0.0,0.0,0.0,,0.0,0.1,0.0,0.1,1.5333,,1.5333,0.05,0.0,0.05,0.7667,,0.7667,0.9565,0.3484,-0.0467,-0.063,-0.2024
2025-12-11,183,0.3115,0.071,0.3989,183,0.4,0.0,0.4,1.2842,0.0,1.0027,0.3,0.0,0.3,0.9632,0.0,0.7521,0.3,0.0,0.3,0.9632,0.0,0.7521,0.7596,0.5835,-0.0227,-0.0439,-0.178
2025-12-12,89,0.3034,0.0674,0.3933,89,0.8,0.4,1.4,2.637,5.9333,3.56,0.5,0.2,0.8,1.6481,2.9667,2.0343,0.4,0.15,0.6,1.3185,2.225,1.5257,0.8315,0.5001,0.097,0.0895,0.0098
2025-12-13,585,0.2632,0.0752,0.3573,585,0.6,0.4,1.2,2.2792,5.3182,3.3589,0.6,0.4,1.1,2.2792,5.3182,3.0789,0.6,0.35,1.0,2.2792,4.6534,2.799,0.8188,0.4813,0.1951,0.1932,-0.0043
2025-12-14,275,0.2691,0.0473,0.3273,275,0.6,0.0,0.6,2.2297,0.0,1.8333,0.5,0.1,0.6,1.8581,2.1154,1.8333,0.55,0.1,0.65,2.0439,2.1154,1.9861,0.8764,0.4765,0.2489,0.2295,-0.0268
2025-12-15,224,0.2634,0.0714,0.3438,224,0.4,0.0,0.4,1.5186,0.0,1.1636,0.5,0.1,0.6,1.8983,1.4,1.7455,0.45,0.1,0.6,1.7085,1.4,1.7455,0.8125,0.4476,0.2336,0.2231,0.0557
2025-12-16,454,0.2797,0.0639,0.37,454,1.0,0.4,2.0,3.5748,6.2621,5.4048,0.8,0.3,1.4,2.8598,4.6966,3.7833,0.7,0.2,1.05,2.5024,3.131,2.8375,0.8458,0.4334,0.3409,0.3268,0.1274
2025-12-17,224,0.1696,0.0223,0.1964,224,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,1.7684,0.0,1.5273,0.35,0.0,0.35,2.0632,0.0,1.7818,0.9062,0.3593,0.1883,0.1634,-0.0136
2025-12-18,453,0.2296,0.0618,0.3024,453,0.8,0.6,1.4,3.4846,9.7071,4.6292,0.5,0.3,0.8,2.1779,4.8536,2.6453,0.4,0.25,0.65,1.7423,4.0446,2.1493,0.8455,0.4337,0.2591,0.2495,0.0365
2025-12-19,226,0.2743,0.0752,0.3584,226,0.8,0.4,1.2,2.9161,5.3176,3.3481,0.8,0.4,1.2,2.9161,5.3176,3.3481,0.7,0.35,1.05,2.5516,4.6529,2.9296,0.854,0.4114,0.3554,0.3518,0.1678
